ลำดับที่,เดือน,วันที่เกิดเหตุ,เวลา,ขบวนรถ,เส้นทาง,สถานีที่เกิดเหตุขัอง,ระยะเวลาล่าช้า (นาที),ผู้ให้บริการ,สาเหตุ,รายละเอียด
46,เมษายน,21 เม.ย. 21,09.25 น.,-,สายสีเขียว,แยก คปอ.- คูคต,-,BTS, วัสดุแปลกปลอม ,09:25 เนื่องจากมีสิ่งกีดขวางราง ระหว่างสถานีแยก คปอ.กับสถานีปลายทางคูคต  เพื่อความปลอดภัยศูนย์ควบคุมการเดินรถ ปรับรูปแบบการเดินรถโดยมีรถวิ่งให้บริการจากสถานีคูคตถึงสถานีปลายทางเคหะฯ โดยสถานีแยก คปอ.ใช้ชานชาลาฝั่งมุ่งหน้าสถานีปลายทางเคหะฯ ฝั่งเดียวในการให้บริการ
47,เมษายน,22 เม.ย. 21,09.05 น.,19,สายสีเขียว,แบริ่ง,-,BTS, ระบบเบรก ,"09.05 ขบวนรถไฟฟ้าหมายเลข 19 ระบบความดันลมขัดข้องที่สถานีแบริ่ง ฝั่งมุ่งหน้าสถานีปลายทางคูคต
ไม่สามารถแก้ไขได้ ทำการเปลี่ยนถ่ายผู้โดยสาร หลังจากนั้นนำออกจากการให้บริการ"
48,เมษายน,23 เม.ย. 21,13.50 น.,34,สายสีน้ำเงิน,ศูนย์วัฒนธรรมฯ,2,BEM, ระบบอาณัติสัญญาณและการควบคุม ,"เวลา 13.50 น.ขบวนรถไฟฟ้าหมายเลข 34 เกิดเหตุระบบป้องกันการผิดพลาดของการเดินรถบนขบวนรถไฟฟ้าขัดข้อง Automatic Train Protection (ATP) Fault จำนวน 1 ขบวน ที่สถานีศูนย์วัฒนธรรมฯ ฝั่งขาขึ้น (ปลายทางสถานีท่าพระ) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 2 นาที โดยมีขบวนรถให้บริการทดแทน
- สถานีได้ประชาสัมพันธ์ให้ผู้โดยสารรับทราบ"
49,เมษายน,25 เม.ย. 21,19.18 น.,10,สายสีเขียว,ปู่เจ้า,-,BTS, ไม่ทราบสาเหตุ ,19.18 ขบวนรถไฟฟ้าหมายเลข 10 ขัดข้องที่สถานีปู่เจ้า ฝั่งมุ่งหน้าสถานีปลายทางเคหะฯ ไม่สามารถแก้ไขได้ ทำการเปลี่ยนถ่ายผู้โดยสาร หลังจากนั้นนำออกจากการให้บริการ
50,เมษายน,26 เม.ย. 21,09.40 น.,47,สายสีน้ำเงิน,คลองเตย,2,BEM, ระบบเบรก ,"เวลา 9.40 น. ขบวนรถไฟฟ้าหมายเลข 47 เกิดเหตุระบบเบรกลมขัดข้อง จำนวน 1 ขบวน ที่สถานีคลองเตย ฝั่งขาล่อง (ปลายทางสถานีหลักสอง) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 2 นาที ดำเนินการขนถ่าย (Detrain) ผู้โดยสารลงที่ชานชาลา
เกิดความล่าช้าในการให้บริการ 2 นาที โดยมีขบวนรถให้บริการทดแทนสถานีได้ประชาสัมพันธ์ให้ผู้โดยสารรับทราบ"
51,เมษายน,27 เม.ย. 21,07.35 น.,-,สาย ARL,สุวรรณภูมิ,5,SRTET, ระบบอาณัติสัญญาณและการควบคุม ,เวลา 07:35-08:50น. เกิดเหตุระบบอาณัติสัญญานขัดข้องก่อนเข้าสถานีสุวรรณภูมิ ส่งผลให้เฉพาะรถไฟฝั่งขาเข้าเมืองล่าช้าสะสม 5 นาที
52,เมษายน,27 เม.ย. 21,12.30 น., City01,สาย ARL,บ้านทับช้าง,10,SRTET, ระบบประตู ,"เวลา 12:30น. เกิดเหตุ City01 ระบบประตูรถไฟขัดข้อง ที่สถานีบ้านทับช้าง ฝั่งออกนอกเมือง ส่งผลให้รถไฟล่าช้าสะสม 10 นาที
"
53,เมษายน,27 เม.ย. 21,13.50 น.,City03,สาย ARL,สุวรรณภูมิ,-,SRTET, ระบบขับเคลื่อนรถไฟฟ้า ,เวลา 13:50น. เกิดเหตุ City03 ระบบขับเคลื่อนขัดข้อง ที่สถานีสุวรรณภูมิ ต้องยกเลิกการบริการรถไฟที่ออกจากสุวรรณภูมิที่เวลา 13:50 น. 1 เที่ยว
54,เมษายน,29 เม.ย. 21,07.55 น.,3,สายสีน้ำเงิน,สุทธิสาร,3,BEM, ระบบประตู ,"เวลา 7.55 น. ขบวนรถไฟฟ้าหมายเลข 03 เกิดเหตุประตูรถไฟฟ้าขัดข้อง ที่สถานีสุทธิสาร ฝั่งขาขึ้น (ปลายทางสถานีท่าพระ) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 3 นาที โดยมีขบวนรถให้บริการทดแทน
- สถานีได้ประชาสัมพันธ์ให้ผู้โดยสารรับทราบ"
55,เมษายน,30 เม.ย. 21,06.45 น.,21,สายสีน้ำเงิน,บางหว้า,3,BEM, ระบบประตู ,"เวลา 6.45 น. ขบวนรถไฟฟ้าหมายเลข 21 เกิดเหตุประตูรถไฟฟ้าขัดข้อง ที่สถานีบางหว้า ฝั่งขาขึ้น (ปลายทางสถานีท่าพระ) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 3 นาที โดยมีขบวนรถให้บริการทดแทน
- สถานีได้ประชาสัมพันธ์ให้ผู้โดยสารรับทราบ"
56,เมษายน,30 เม.ย. 21,17.37 น.,50,สายสีเขียว,บางหว้า, -,BTS, ระบบเบรก ,เวลา 17.37 น. ขบวนรถไฟฟ้าหมายเลข 50  นะบบเบรกขัดข้องที่สถานีบางหว้า ฝั่งมุ่งหน้าสถานีปลายทางสนามกีฬาแห่งชาติ ไม่สามารถทำการแก้ไขได้ ทำการเปลี่ยนถ่ายผู้โดยสาร และนำออกจากการให้บริการ ต่อมาเวลา 17.50 น. สายสีลมสามารถเดินรถได้ตามปกติ
57,พฤษภาคม,5 พ.ค. 21,08.50 น.,61,สายสีเขียว,วัดพระศรีมหาธาตุ,-,BTS, ระบบเบรก ,08:50 ขบวนรถไฟฟ้าหมายเลข 61 ระบบเบรกขัดข้องที่สถานีวัดพระศรีมหาธาตุ ฝั่งมุ่งหน้าสถานีปลายทางคูคต ทำการแก้ไขตามขั้นตอน และสามารถให้บริการได้ตามปกติ
58,พฤษภาคม,9 พ.ค. 21,-,33,สายสีเขียว,คูคต,-,BTS, ระบบเบรก ,"ขบวนรถหมายเลข 33 ระบบเบรกขัดข้องที่สถานีคูคต ฝั่งมุ่งหน้าสถานีปลายทางเคหะฯ, ไม่สามารถแก้ไขได้  หลังจากนั้นนำออกจากการให้บริการ"
59,พฤษภาคม,11 พ.ค. 21,12.20 น.,46,สายสีเขียว,คูคต,-,BTS, ไม่ทราบสาเหตุ ,12.20 ขบวนรถหมายเลข 46  ขัดข้องที่สถานีคูคต ฝั่งมุ่งหน้าสถานีปลายทางเคหะ ฯ ทำการแก้ไขตามขั้นตอน หลังจากนั้นให้บริการในสายสุขุมวิทตามปกติ
60,พฤษภาคม,11 พ.ค. 21,19.04 น.,62,สายสีเขียว,สำโรง,-,BTS, ระบบขับเคลื่อนรถไฟฟ้า ,19:04 ขบวนรถหมายเลข 62 ระบบขับเคลื่อนขัดข้อง ที่สถานีสำโรง ฝั่งมุ่งหน้าสถานีปลายทางเคหะฯ ไม่สามารถแก้ไขได้  หลังจากนั้นนำออกจากการให้บริการ
61,พฤษภาคม,13 พ.ค. 21,09.03 น.,Express04,สาย ARL,หัวหมาก,-,SRTET, ระบบขับเคลื่อนรถไฟฟ้า , 09.03 น. ที่สถานีหัวหมาก ฝั่งขาเข้าเมืองรถไฟ Express04 /TN310111 ระบบขับเคลื่อนขัดข้อง ทำการขนถ่ายผู้โดยสารออกจากขบวนรถที่สถานีพญาไท ยกเลิก รถไฟ TN100112 เที่ยวที่จะออกจากสถานี พญาไท (09.20 น.) ไม่มีให้บริการ สถานีที่ได้รับผลกระทบได้แก่ สถานีพญาไท และสถานีราชปรารภ ฝั่งขาออกนอกเมือง และมีรถไฟทดแทนโดยเริ่มให้บริการเวลา 09.24 น. ที่สถานีมักกะสันฝั่งขาออกนอกเมือง
62,พฤษภาคม,14 พ.ค. 21,06.05 น.,Express04,สาย ARL,ราชปรารภ ,-,SRTET, ระบบขับเคลื่อนรถไฟฟ้า ," 06.05 น. ที่สถานีราชปรารภ ฝั่งขาเข้าเมืองรถไฟ Express04 /TN290502 ระบบขับเคลื่อนขัดข้อง ทำการขนถ่ายผู้โดยสารออกจากขบวนรถที่สถานีพญาไท ยกเลิก รถไฟ TN100502 เที่ยวที่จะออกจากสถานี พญาไท (06.09 น.) ไม่มีให้บริการ สถานีที่ได้รับผลกระทบได้แก่ สถานีพญาไท,สถานีราชปรารภ และ สถานีมักกะสัน ฝั่งขาออกนอกเมือง และมีรถไฟทดแทนโดยเริ่มให้บริการเวลา 06.16 น. ที่สถานีรามคำแหงฝั่งขาออกนอกเมือง"
63,พฤษภาคม,19 พ.ค. 21,19.50 น.,-,สาย ARL,-,-,SRTET, ระบบขับเคลื่อนรถไฟฟ้า ,เวลา 19.50-22.30 น.เนื่องจากมีขบวนรถไฟฟ้าเกิดระบบขับเคลื่อนขัดข้อง จึงเปลี่ยนตารางเดินรถจาก Headway 15 นาที เป็น Headway 20 นาที
64,พฤษภาคม,19 พ.ค. 21,16.48 น.,10,สายสีน้ำเงิน,บางหว้า,3,BEM, ระบบอาณัติสัญญาณและการควบคุม ,เวลา 16.48 น. ขบวนรถไฟฟ้าหมายเลข 10 เกิดเหตุระบบป้องกันการผิดพลาดของการเดินรถบนขบวนรถไฟฟ้าขัดข้อง Automatic Train Protection (ATP) Fault จำนวน 1 ขบวน ที่สถานีบางหว้า ฝั่งขาล่อง (ปลายทางสถานีหลักสอง) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 3 นาที โดยมีขบวนรถให้บริการทดแทน
65,พฤษภาคม,24 พ.ค. 21,18.20 น.,21,สายสีเขียว,ห้าแยกลาดพร้าว,-,BTS, ระบบอาณัติสัญญาณและการควบคุม ,"18.20 ขบวนรถหมายเลข 21 ระบบอาณัติสัญญาณขัดข้องที่สถานีห้าแยกลาดพร้าว ฝั่งมุ่งหน้าสถานีปลายทางเคหะฯ, ไม่สามารถแก้ไขได้, ทำการเปลี่ยนถ่ายผู้โดยสาร และนำออกจากการให้บริการ"
66,พฤษภาคม,27 พ.ค. 21,21.15 น.,76,สายสีเขียว,พร้อมพงษ์ - อโศก,-,BTS, ระบบประตู ,21.15 ขบวนรถไฟฟ้าหมายเลข76 ระบบประตูขัดข้องระหว่างสถานีพร้อมพงษ์ กับสถานีอโศก ฝั่งมุ่งหน้าสถานีปลายทางคูคต  ทำการเปลี่ยนถ่ายผู้โดยสาร ที่สถานีอโศก ฝั่งมุ่งหน้าสถานีปลายทางคูคต
67,พฤษภาคม,31 พ.ค. 21,08.58 น.,16,สายสีเขียว,ชิดลม ,-,BTS, ระบบเบรก ,08.58 ขบวนรถไฟฟ้าหมายเลข16 ระบบเบรกขัดข้องที่สถานีชิดลม  ฝั่งมุ่งหน้าสถานีปลายทางเคหะฯ ทำการแก้ไขตามขั้นตอน จากนั้นขบวนรถเคลื่อนที่ให้บริการได้ตามปกติ
68,พฤษภาคม,31 พ.ค. 21,19.13 น.,24,สายสีน้ำเงิน,สุขุมวิท,1,BEM, ระบบเบรก ,ขบวนรถไฟฟ้าหมายเลข 24 เกิดเหตุระบบแรงดันลมขัดข้อง จำนวน 1 ขบวน ที่สถานีสุขุมวิท ฝั่งขาล่อง (ปลายทางสถานีหลักสอง) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 1 นาที โดยมีขบวนรถให้บริการทดแทน
69,มิถุนายน,1 มิ.ย. 21,10.58 น.,-,สายสีทอง,กรุงธนบุรี - เจริญนคร,-,BTS, วัสดุแปลกปลอม ,10.58 เนื่องจากมีอุปกรณ์ในรางกีดขวางเส้นทางการเดินรถไฟฟ้าสายสีทอง ระหว่างสถานีกรุงธนบุรี กับสถานีเจริญนคร ศูนย์ควบคุมการเดินรถหยุดการเดินรถวิ่งให้บริการระหว่างสถานีกรุงธนบุรีถึงสถานีปลายทางคลองสาน เพื่อให้เจ้าหน้าที่ลงทำการแก้ไข 11.07 เจ้าหน้าที่ทำการแก้ไขเรียบร้อย การเดินรถในสายสีทองสามารถให้บริการได้ตามปกติ
70,มิถุนายน,1 มิ.ย. 21,11.13 น.,53,สายสีน้ำเงิน,ลาดพร้าว,3,BEM, ระบบเบรก ," เวลา 11.13 น. ขบวนรถไฟฟ้าหมายเลข 53 เกิดเหตุระบบเบรกลม ขัดข้อง จำนวน 1 ขบวน ที่สถานีลาดพร้าว ฝั่งขาล่อง (ปลายทางสถานีหลักสอง) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 3 นาที โดยมีขบวนรถให้บริการทดแทน
- สถานีได้ประชาสัมพันธ์ให้ผู้โดยสารรับทราบ"
71,มิถุนายน,2 มิ.ย. 21,17.32 น.,17,สายสีน้ำเงิน,สามย่าน,5,BEM, ระบบประตู ,เวลา 17.32 น. ขบวนรถไฟฟ้าหมายเลข 17 เกิดเหตุประตูรถไฟฟ้าขัดข้อง ปลดล็อกประตูรถไฟด้วยอุปกรณ์ฉุกเฉิน จำนวน 1 ขบวน ที่สถานีสามย่าน ฝั่งขาล่อง (ปลายทางสถานีหลักสอง) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 5 นาที โดยมีขบวนรถให้บริการทดแทน
72,มิถุนายน,2 มิ.ย. 21,19.04 น.,27,สายสีน้ำเงิน,หลักสอง,3,BEM, ระบบอาณัติสัญญาณและการควบคุม ,เวลา 19.04 น. ขบวนรถไฟฟ้าหมายเลข 27 เกิดเหตุระบบอาณัติสัญญาณ ขัดข้อง จำนวน 1 ขบวน ที่สถานีหลักสอง ฝั่งขาขึ้น (ปลายทางสถานีท่าพระ) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 3 นาที โดยมีขบวนรถให้บริการทดแทน
73,มิถุนายน,4 มิ.ย. 21,14.46 น.,20,สายสีน้ำเงิน,บางแค,3,BEM, ระบบอาณัติสัญญาณและการควบคุม ,เวลา 14.46 น. ขบวนรถไฟฟ้าหมายเลข 20 เกิดเหตุระบบป้องกันการผิดพลาดของการเดินรถบนขบวนรถไฟฟ้า ขัดข้อง จำนวน 1 ขบวน ที่สถานีบางแค ฝั่งขาล่อง (ปลายทางสถานีหลักสอง) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 3 นาที โดยมีขบวนรถให้บริการทดแทน
74,มิถุนายน,4 มิ.ย. 21,13.51 น.,47,สายสีเขียว,พหลโยธิน,-,BTS, ไม่ทราบสาเหตุ ,"13.51 ขบวนรถไฟฟ้าหมายเลข 47 ขัดข้องที่สถานีพหลโยธิน 24 ฝั่งมุ่งหน้าสถานีปลายทางเคหะฯ ไม่สามารถทำการแก้ไขได้, ให้เคลื่อนที่ไปเปลี่ยนถ่ายผู้โดยสารที่สถานีห้าแยกลาดพร้าว ฝั่งมุ่งหน้าสถานีปลายทางเคหะฯ และนำออกจากการให้บริการ 14.07 การเดินรถในสายสุขุมวิทสามารถเดินรถได้ตามปกติ"
75,มิถุนายน,6 มิ.ย. 21,14.44 น.,City04,สาย ARL,ลาดกระบัง,10,SRTET, ระบบจ่ายไฟฟ้าขับเคลื่อน ," เวลา 14.44 น. City04 ที่สถานีลาดกระบังฝั่งออกนอกเมือง เกิดระบบตัวแปลงกระแสไฟฟ้าบนขบวนรถขัดข้องทำการขนถ่ายผู้โดยสารออกจากขบวนรถ ส่งผลให้รถล่าช้าจากตารางเวลา 10 นาที
เวลา 15:45 น. รถไฟทุกขบวนให้บริการครบตามตารางเดินรถ"
76,มิถุนายน,8 มิ.ย. 21,10.14 น.,Express03 ,สาย ARL,บ้านทับช้าง,-,SRTET, ระบบเบรก ,"เวลา 10.14 น. ที่สถานีบ้านทับช้าง ฝั่งขาเข้าเมืองรถไฟ Express 03 เกิดควันบริเวณชุดล้อ ทำการขนถ่ายผู้โดยสารออกจากขบวนรถที่สถานีหัวหมาก ฝั่งขาเข้าเมือง ยกเลิก รถไฟ TN310213 ไม่มีให้บริการ สถานีที่ได้รับผลกระทบ สถานี หัวหมาก,รามคำแหง ฝั่งขาเข้าเมือง และมีรถทดแทนเริ่มให้บริการเเทนเวลา 10.22 น. ที่สถานีมักกะสันฝั่งขาเข้าเมือง"
77,มิถุนายน,8 มิ.ย. 21,16.24 น.,5,สายสีน้ำเงิน,จรัญฯ 13,10,BEM, วัสดุแปลกปลอม ," เวลา 16.24 น. ที่สถานีจรัญฯ 13 ฝั่งขาล่อง ขบวนรถไฟฟ้าหมายเลข 05 ตรวจพบมีแผ่นเหล็กตกลงกลางราง ขบวนรถไม่สามารถผ่านได้ 
- ดำเนินการขนถ่าย (Detrain) ผู้โดยสารลงที่ชานชาลา
- เจ้าหน้าที่ดำเนินการเก็บแผ่นเหล็ก
ใช้แผนการเดินรถสำรอง โดยมีรายละเอียดดังนี้
  - Short Loop สถานีหลักสอง - สถานีท่าพระ ชานชาลาบน
  - Share Track สถานีบางขุนนนท์ - สถานีจรัญฯ 13 ฝั่งขาขึ้น
- สถานีได้ประชาสัมพันธ์ให้ผู้โดยสารรับทราบ 
- เกิดความล่าช้าในการให้บริการ 10 นาที
- กลับมาให้บริการเดินรถได้ตามปกติ เวลา 17.35 น."
78,มิถุนายน,14 มิ.ย. 21,20.59 น.,28,สายสีเขียว,พระโขนง,-,BTS, ผู้โดยสาร ,20.59 มีการกดปุ่มหยุดรถฉุกเฉินที่สถานีพระโขนง ฝั่งมุ่งหน้าสถานีปลายทางคูคต เนื่องจากมีผู้โดยสารเป็นลมภายในขบวนรถไฟฟ้าหมายเลข 28
79,มิถุนายน,15 มิ.ย. 21,09.42 น.,-,สายสีเขียว,-,-,BTS, ระบบอาณัติสัญญาณและการควบคุม ,09.42 เกิดเหตุขัดข้องในสายสุขุมวิท และสายสีลม ทำให้ขบวนรถไม่สามารถเคลื่อนที่ด้วยระบบอัตโนมัติได้ ส่งผลให้ขบวนรถบางขบวน จอดนานในบางสถานี
80,มิถุนายน,15 มิ.ย. 21,15.55 น.,30,สายสีน้ำเงิน,พหลโยธิน,2,BEM, ระบบเบรก ,"เวลา 15.55 น. ขบวนรถไฟฟ้าหมายเลข 30 เกิดเหตุระบบเบรกลมขัดข้อง จำนวน 1 ขบวน ที่สถานีพหลโยธิน ฝั่งขาขึ้น (ปลายทางสถานีท่าพระ) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 2 นาที โดยมีขบวนรถให้บริการทดแทน
- สถานีได้ประชาสัมพันธ์ให้ผู้โดยสารรับทราบ"
81,มิถุนายน,21 มิ.ย. 21,-,-,สายสีเขียว,พระโขนง,-,BTS, ผู้โดยสาร ,เนื่องจากมีผู้โดยสารหญิงลงไปในบริเวณรางที่สถานีพระโขนง  ฝั่งมุ่งหน้าสถานีปลายทางคูคต  จึงมีการกดปุ่มหยุดรถไฟฟ้าฉุกเฉิน  ทำให้ขบวนรถไฟฟ้าไม่สามารถเคลื่อนที่ได้ ทำการแก้ไขตามขั้นตอน  และทำการช่วยเหลือผู้โดยสาร หลังจากนั้นขบวนรถสามารถให้บริการต่อได้ตามปกติ
82,มิถุนายน,21 มิ.ย. 21,15.41 น.,6,สายสีน้ำเงิน,รัชดา,3,BEM, ระบบประตู ,"เวลา 15.41 น. ขบวนรถไฟฟ้าหมายเลข 06 เกิดเหตุประตูรถไฟฟ้าขัดข้อง จำนวน 1 ขบวน ที่สถานีรัชดา ฝั่งขาล่อง (ปลายทางสถานีหลักสอง) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 3 นาที โดยมีขบวนรถให้บริการทดแทน
- สถานีได้ประชาสัมพันธ์ให้ผู้โดยสารรับทราบ"
83,มิถุนายน,22 มิ.ย. 21,11.53 น.,26,สายสีเขียว,กรมป่าไม้,-,BTS, ระบบเบรก ,"11.53 ขบวนรถไฟฟ้าหมายเลข 26 ระบบเบรกขัดข้องที่สถานีกรมป่าไม้ ฝั่งมุ่งหน้าสถานีปลายทางคูคต ไม่สามารถทำการแก้ไขได้, ทำการเปลี่ยนถ่ายผู้โดยสารและนำออกจากการให้บริการ
 12.05 การเดินรถในสายสุขุมวิทสามารถเดินรถได้ตามปกติ"
84,มิถุนายน,23 มิ.ย. 21,18.28 น.,Express03,สาย ARL,สุวรรณภูมิ,-,SRTET, ไม่ทราบสาเหตุ ," เวลา 18.28 น. Express03 ขัดข้องที่สถานีสุวรรณภูมิทำการขนถ่ายผู้โดยสารออกจากขบวนรถ ส่งผลให้ยกเลิกรถ 6 เที่ยว (เนื่องจากมีให้บริการ 5 ขบวน) ดังนี้ 
          1) 18.30 น.ที่สถานีสุวรรณภูมิ
          2) 19.00 น.ที่สถานีพญาไท
          3) 19.30 น.ที่สถานีสุวรรณภูมิ
          4) 20.00 น.ที่สถานีพญาไท
          5) 20.30 น.ที่สถานีสุวรรณภูมิ
          6) 21.00 น.ที่สถานีพญาไท
  เวลา 21.13 น. นำ City02 ออกจากโรงซ่อมมาเริ่มให้บริการครบตามตารางเวลาที่สถานีรามคำแหงฝั่งขาออกนอกเมือง"
85,มิถุนายน,26 มิ.ย. 21,05.00 น.,-,สายสีเขียว,บางจาก-แบริ่ง,-,BTS, ระบบอาณัติสัญญาณและการควบคุม ,"05.00 BTS ระบบควบคุมการเดินรถขัดข้องในสายสุขุมวิทขัดข้องระหว่างสถานีบางจากถึงสถานีแบริ่ง ทำให้ขบวนรถไม่สามารถให้บริการได้ตั้งแต่สถานีบางจาก สถานีปุณณวิถี สถานีอุดมสุข สถานีบางนา และสถานีแบริ่ง ชั่วคราว 
06.49 BTS ระบบควบคุมการเดินรถขัดข้องในสายสุขุมวิทได้รับการแก้ไขเรียบร้อย การเดินรถในสายสุขุมวิท สามารถเดินรถได้ตามปกติ"
86,มิถุนายน,27 มิ.ย. 21,23.30 น.,-,สายสีทอง,เจริญนคร-คลองสาน,-,BTS, จุดสับราง ,"23.30 (สายสีทอง) จุดสับรางขัดข้องระหว่างสถานีเจริญนครกับสถานีปลายทางคลองสาน กำลังทำการแก้ไข ส่งผลให้ 
   ต้องปิดสถานีปลายทางคลองสานชั่วคราว ศูนย์ควบคุมการเดินรถปรับรูปแบบการเดินรถ โดยจัดขบวนรถไฟฟ้า
   ให้บริการระหว่างสถานีกรุงธนบุรีกับสถานีเจริญนคร โดยใช้ชานชาลาฝั่งมุ่งหน้าสถานีปลายทางคลองสานด้านเดียวใน 
   การให้บริการ จนปิดให้บริการ"
87,มิถุนายน,29 มิ.ย. 21,17.09 น.,Express03,สาย ARL,รามคำแหง,-,SRTET, ระบบขับเคลื่อนรถไฟฟ้า ,17.09 น. ขบวนรถไฟ Express 03 ระบบขับเคลื่อนขัดข้อง ทำการขนถ่ายผู้โดยสารออกจากขบวนรถ ที่สถานีรามคำแหง ฝั่งขาออกนอกเมือง และมีรถทดแทนเริ่มให้บริการเเทนเวลา 17.22 น. ที่สถานีมักกะสันฝั่งขาเข้าเมือง   - 21.05 ขบวนรถไฟ Express 03 ระบบขับเคลื่อนขัดข้อง ทำการขนถ่ายผู้โดยสารออกจากขบวนรถ ที่สถานีปลายทางสุวรรณภูมิ และมีรถทดแทนเริ่มให้บริการเเทนเวลา 21.20 น. ที่สถานีสุวรรณภูมิฝั่งขาเข้าเมือง
88,มิถุนายน,29 มิ.ย. 21,07.03 น.,15,สายสีน้ำเงิน,หัวลำโพง,3,BEM, ระบบขับเคลื่อนรถไฟฟ้า ," เวลา 07.03 น. ขบวนรถไฟฟ้าหมายเลข 15 เกิดเหตุระบบขับเคลื่อนรถไฟฟ้าอัตโนมัติขัดข้อง จำนวน 1 ขบวน ที่สถานีหัวลำโพง ฝั่งขาล่อง (ปลายทางสถานีหลังสอง) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 3 นาที โดยมีขบวนรถให้บริการทดแทน
- สถานีได้ประชาสัมพันธ์ให้ผู้โดยสารรับทราบ"
89,มิถุนายน,29 มิ.ย. 21,12.30 น.,-,สายสีเขียว,โพธิ์นิมิตร-บางหว้า,-,BTS, ระบบอาณัติสัญญาณและการควบคุม ,"12.30 ระบบอาณัติสัญญาณระหว่างสถานีโพธิ์นิมิตรและสถานีบางหว้าขัดข้อง ศูนย์ควบคุมการเดินรถต้องทำการแก้ไข ส่งผล 
   ทำให้ขบวนรถต้องเคลื่อนที่เข้า-ออกสถานีด้วยความเร็วต่ำ หลังจากนั้นขบวนรถสามารถเคลื่อนที่ได้ และการเดินรถใน
   สายสีลมสามารถเดินรถได้ตามปกติ"
90,มิถุนายน,30 มิ.ย. 21,15.05 น.,92,สายสีเขียว,บางจาก,-,BTS, ระบบขับเคลื่อนรถไฟฟ้า ,15.05 ขบวนรถไฟฟ้าหมายเลข 92 อุปกรณ์ตัดวงจรไฟฟ้าขัดข้อง และ ระบบขับเคลื่อนขัดข้องที่สถานีบางจาก ฝั่งมุ่งหน้าสถานีปลายทางเคหะฯ ไม่สามารถทำการแก้ไขได้ ให้ทำการเปลี่ยนถ่ายผู้โดยสาร และนำออกจากการให้บริการ
91,มิถุนายน,30 มิ.ย. 21,17.53 น.,76,สายสีเขียว,สนามกีฬาแห่งชาติ,-,BTS, ระบบเบรก ,17.53 ขบวนรถไฟฟ้าหมายเลข 76 ระบบเบรกขัดข้องที่สถานีสนามกีฬาแห่งชาติ ฝั่งมุ่งหน้าสถานีปลายทางบางหว้า ไม่สามารถทำการแก้ไขได้ ให้ทำการเปลี่ยนถ่ายผู้โดยสาร และนำออกจากการให้บริการ
92,กรกฎาคม,1 ก.ค. 21,17.08 น.,-,สายสีม่วง,บางซ่อน - เตาปูน,-,BEM, จุดสับราง ,"17:08 น. เกิดเหตุประแจสับราง ระหว่างสถานีบางซ่อนและเตาปูน หมายเลข T1601 และ T1602 ไม่สามารถสับรางได้ 
 - ทำการเดินรถในรูปแบบ Short Loop ตั้งแต่ สถานีคลองบางไผ่ - วงศ์สว่าง 
- ได้ประสานงานรถประจำทาง ขสมก. เพื่อรับส่งผู้โดย สารจากสถานีเตาปูน ถึง สถานีวงค์สว่าง
- 18.05 น. ดำเนินการแก้ไขแล้วเสร็จ ให้บริการได้ตามปกติ"
